00010001100100,1000000111101,001000011100,10111000011,0011000100,000010000,00100011,0000000,100010,00111,1001,000,00,0,
01010001101010,0000000110011,011000011100,00111000011,0011000100,000010000,00000011,1000000,000010,11010,1001,000,00,1,
01010001101000,0000100101001,011000001100,00110000011,0011000110,000011000,01100011,0000010,100010,01000,1001,001,00,0,
11010001101001,0000000011001,011000011100,00110000001,0011000110,000010000,10100011,0000010,100010,00011,1001,000,00,0,
10000001100110,1000100101111,001000001100,10111000011,0011000100,000011000,00000011,0000000,000110,00010,1001,001,00,0,
00010101100110,1000000101101,001000001100,10111000011,0011000100,000011001,00100011,0000000,000010,00101,0001,001,00,0,
01010011100000,0000000110001,011000101100,00110100011,0011000100,000011000,00000011,1100000,000000,11011,1001,000,00,1,
10000011100110,0000000111101,001000001100,00110000011,0011000100,000011000,00100011,1000010,000100,00011,1001,100,00,0,
11000001101010,0000000101011,011001001100,10110000011,0011000110,000011000,00000011,0000000,000010,00010,1001,001,00,1,
00000000100110,0001000101101,001000000100,00110000011,0011000110,000011101,00100011,0000010,000110,00111,0001,001,10,0,
00010101100110,0001100101101,001000000100,00110000001,0011000100,000011100,10100011,1000010,000010,00100,1001,001,00,0,
01111001101100,0000000111001,001000000100,10111100011,0011000100,000011000,00000011,0000000,000000,01011,1001,000,00,1,
01000001001100,0000100101011,001000001100,00110000001,0010000100,000011001,10000011,1100110,101100,01010,0001,001,00,0,
01110001101010,0000100010011,011000011100,00111000011,0011000100,000010000,00000011,1000000,000000,11010,1011,000,00,0,
00000000100110,1000000101111,001000001100,10111000111,0011000100,000011001,00000011,0000000,000100,00110,0001,001,10,1,
01100000100110,1000000101011,001000111100,00111000111,0010000100,000010000,00000011,1000100,000100,00010,1001,001,00,1,
00000001100110,0100110101011,001000001100,00110000001,0011000100,000011000,00000001,1000010,000110,01110,1001,101,00,0,
01100000111000,0000000110011,101001001100,00111100011,0011000100,000011000,00000011,1000000,000100,10010,1001,000,00,1,
00010101100110,0000100110101,001000000100,00111000011,0011000100,000011100,00100011,1000000,000010,00100,1101,100,00,0,
01100000111000,0000000110011,101001001100,10111100011,0011000100,000011000,00000011,0000000,000100,10010,1001,000,00,1,
