11000001100111,1000000001001,001000011100,00110000011,0011000100,000010000,00000011,1000010,000110,00011,1001,001,00,1,
11010001100100,1000100101011,001000011100,00110000011,0011000110,000010000,00000011,0000010,100010,00010,1001,001,00,0,
01000001101100,0000000111001,001000001100,00110000011,0011000110,000011000,00100011,0000010,100110,01011,1001,000,00,0,
11000001101100,0000000101011,001000001100,00111000011,0011000100,000011000,00000011,1000000,100110,00010,1001,001,00,1,
10000101100110,1000000101101,001000011100,00110000011,0010000100,000010000,00100011,1000110,000110,00001,1001,001,00,0,
01000001100110,0000000111001,001000111100,00110000001,0011000110,000010000,10100011,0000010,000110,01011,1001,000,00,0,
00000001100110,0000100011001,001000111100,00110000011,0011000100,000010000,00101011,1000010,000110,01110,1001,000,00,0,
01000001100100,1000000101001,001000111100,00110000001,0011000110,000010000,10100011,0000010,100110,00011,1001,001,00,0,
11000001100101,1000000011001,001000001100,00110000001,0010000100,000011000,10100011,1100110,100100,00011,1001,000,00,0,
01000011101100,0000100111001,001000001100,00110000001,0011000100,000011000,10100011,1100010,000100,01010,1001,000,00,0,
00000011100100,0000100101011,001000101100,00110000001,0011000100,000011000,10000011,1100010,000100,01110,1001,001,00,0,
00000011100110,0000100111001,001000001100,00110000001,0010000100,000011000,10100011,1000110,000100,01110,1001,100,00,0,
01000100000110,0000100111001,001100101100,00110000011,0011000100,000011000,00100011,1000010,000110,01000,1001,000,10,0,
00000011100100,0000000101111,001000001100,00110000001,0011000100,000011000,10000011,1100010,000100,00110,1001,101,00,1,
01100110100010,0000100011001,001011100100,00110000011,0010000100,000111000,00101011,1000100,000100,01000,1001,000,00,0,
01000010000010,1001100111001,001011100110,00110000011,0011000100,000011000,00100011,1000010,000100,00010,1001,000,00,0,
00100101100110,0000000001101,001000001100,00111000011,0010000100,000011000,00100011,1000100,000100,00101,1001,101,01,0,
01000010000010,0001100101001,011011100110,00110000011,0011000100,000111000,00100011,1000010,000000,00010,1001,001,00,0,
00000011100110,0001000001101,001000000100,00110000011,0011000100,000011100,00100011,1000010,000100,00111,1001,001,01,0,
01100001000010,0000100010001,001101101110,00111000011,0010000100,000011000,00110011,1000100,000100,11000,1001,000,00,0,
