00010001100110,0000100101011,001000001100,00110000001,0011000100,000011000,10000011,1000010,000010,01110,1001,101,00,0,
01000001100100,0000000101011,001000101100,00111000011,0011000100,000011001,00000011,1000000,100110,01010,0001,001,00,1,
00000001100110,1000100100011,001000111101,00110000011,0011000100,000010000,00000011,1000010,000110,00110,1001,001,00,0,
01000011100100,1000000111011,001000101100,00110100011,0011000100,000011000,00000011,1100000,000100,00010,1001,000,00,1,
01011001100000,0001000101001,011000000100,10111000011,0011000100,000111000,00000011,0000000,100010,00011,1001,001,00,1,
01010001100100,0001000101011,001000100100,00111100011,0011000100,000111001,00000011,1000000,100000,00010,0001,001,00,1,
11000001111100,0000000110001,001000011100,00110100011,0010000100,000010000,00100011,1100100,100100,00011,1001,000,00,0,
01000001111100,0000000110001,001000011100,00110100011,0010000100,000010000,00100011,1100100,100100,10011,1001,000,00,0,
01011011101100,0000100110011,001000000100,00110100011,0011000100,000011000,00000011,1100000,000000,11010,1001,000,00,0,
11000010101010,0000000111001,011011001100,00110000011,0011000100,000011000,00000011,1000010,000000,00011,1001,000,00,1,
00110001100100,0000000110001,001000101100,10111100011,0011000100,000011000,00000011,0000000,000000,11111,1001,000,00,1,
01001001101000,0000100010011,001001000100,00110000001,0011000100,000011000,10000011,1000010,100110,11010,1011,000,00,0,
10000100100110,0000100101101,001000011100,00111000111,0011000100,000010000,00100011,1000000,000100,00000,1001,101,10,0,
01000010100010,1000000111001,001011111100,00110000011,0010000100,000010000,00000011,1000110,000100,00011,1001,000,00,1,
01111001100100,0001100101011,001000000100,00111100011,0011000100,000111000,00000011,1000000,000000,00010,1001,001,00,0,
01000001011000,0000100010011,001001001100,00110100011,0011000100,000011000,00000011,1100000,110100,10010,1011,000,00,0,
01010001011100,0000100010011,001000011100,10111100011,0011000100,000010000,00000011,0000000,110000,10010,1011,000,00,0,
01000010101000,0000100101011,001011001100,00110000011,0011000100,000011001,00000011,1100010,000100,01010,0001,001,00,0,
11101000101010,0000000101011,101001000100,10111000011,0011000100,000011000,00000011,0000000,000100,00010,1001,001,00,1,
00100000100100,1100100111111,001000001100,00111100111,0011000100,000011000,00000001,1000000,000100,00110,1001,000,00,0,
