11010101100100,1000000111001,001000011100,00110000011,0011000110,000010000,01100011,0000010,000010,00001,1001,000,00,0,
11000001100000,1000000101001,001001011100,00110000001,0011000100,000010000,11100011,1000010,100110,00001,1001,001,00,0,
11000001100000,1000000100001,001001011101,00110000011,0011000110,000010000,01100011,0000010,100110,00001,1001,001,00,0,
10000100111110,0000100110001,001000000100,00111000011,0010000100,000011100,00100011,1000100,000110,00000,1001,100,10,0,
01010101100100,0000100001001,001000100100,00110000011,0011000100,000111000,01101011,1000010,000010,01000,1001,001,00,0,
01101001101100,0000100011011,001000000100,00111100011,0011000100,000011000,00000011,1000000,000100,01010,1001,010,00,0,
10000000110111,0000000010001,001000001100,10110000011,0011000110,000011000,00000011,0000000,000110,00011,1101,100,10,1,
10000001101100,0000000111001,001000011100,00110000011,0011000110,000010000,01000011,0000010,100111,00001,1001,100,00,0,
11001101101000,0000000111001,011001000100,00110000001,0011000110,000011000,11100011,0000010,000010,00001,1001,000,00,0,
01010000100100,1000000101001,001000101100,00110000001,0011100100,000011000,11000011,1000010,100011,00001,1001,001,00,0,
00011000101100,0000000111001,001000000100,00110000011,0011100100,000011100,01000011,1000010,100011,01001,1001,000,00,0,
00100001100110,0000100011001,001000101100,10111000011,0011000100,000011000,00001011,0000000,000100,01110,1001,010,00,0,
01010000100100,0000000101001,001000111100,00110000001,0111100110,000010000,11100011,0000010,000010,01001,1001,001,00,0,
01010000100000,0000000111001,011000111100,00111000011,0111100100,000010000,01100011,1000000,000010,01001,1001,000,00,0,
01000011000010,0000100111001,001101101110,00110000011,0011000100,000011000,00100011,1000010,000100,01000,1001,000,00,0,
01010000100100,1001000101001,001000100100,10111000011,0011100101,000011000,00000011,0000000,000011,00001,1001,001,00,1,
01100100100010,0000100110001,101011111100,00110000011,0011000100,000010000,00100011,1000000,000100,11000,1001,000,00,0,
01100000111000,0000000110001,101000001100,10111100111,0011000100,000011000,00100011,0000000,000100,10011,1001,000,00,0,
10000100111100,0000000110001,001000000100,00111000011,0111000100,000011100,01100111,1000000,000010,00001,1001,100,00,0,
10010000100100,0000000110101,001000001100,00110000001,0111100111,000011000,11000011,0000010,000010,00001,1101,100,00,0,
